depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
324,0.113342,0.99912,1.00047,1.00008,1.00102,0.991571,11.5668
325,0.113226,0.998899,1.00082,1.00078,1.00063,0.991793,11.6025
326,0.113248,0.998863,1.00099,1.00104,1.00024,0.992022,11.6382
327,0.113404,0.998295,1.00105,1.00134,0.999901,0.991952,11.6739
328,0.113523,0.997767,1.00087,1.00164,0.999693,0.992119,11.7096
329,0.11362,0.997565,1.00051,1.00194,0.999459,0.992605,11.7453
330,0.113757,0.996587,1.00008,1.00261,0.999043,0.992899,11.781
331,0.113867,0.996166,1.00006,1.00334,0.999244,0.9936,11.8167
332,0.113949,0.995318,0.999363,1.00377,0.999229,0.994301,11.8524
333,0.113989,0.994243,0.998658,1.00386,0.999026,0.994713,11.8881
334,0.114057,0.993541,0.998552,1.00401,0.99856,0.994884,11.9238
335,0.114061,0.993235,0.998829,1.00453,0.998536,0.994861,11.9595
336,0.114113,0.992748,0.998692,1.00458,0.998495,0.994689,11.9952
337,0.114154,0.992628,0.998651,1.0041,0.998595,0.994296,12.0309
338,0.114204,0.992545,0.998879,1.00379,0.998851,0.993969,12.0666
339,0.114375,0.992632,0.998746,1.00303,0.999204,0.994014,12.1023
340,0.114523,0.992447,0.999012,1.00253,0.999772,0.994126,12.138
341,0.114672,0.992651,0.998787,1.00236,1.00032,0.994362,12.1737
342,0.114723,0.993351,0.998996,1.00229,1.00059,0.994253,12.2094
343,0.114756,0.994173,0.999678,1.00201,1.00109,0.993998,12.2451
344,0.114738,0.994076,0.999304,1.00215,1.0016,0.993701,12.2808
345,0.11466,0.994893,0.999725,1.00175,1.00165,0.99327,12.3165
346,0.114521,0.995889,1.00033,1.00152,1.00195,0.99327,12.3522
347,0.114357,0.996349,1.00098,1.00148,1.00212,0.993515,12.3879
348,0.114182,0.997073,1.00081,1.00133,1.00165,0.993354,12.4236
349,0.11399,0.997949,1.00123,1.00132,1.00158,0.993281,12.4593
350,0.113847,0.998453,1.00174,1.00136,1.00155,0.992956,12.495
351,0.113701,0.998566,1.00189,1.00146,1.00132,0.992454,12.5307
352,0.113492,0.999003,1.00207,1.00171,1.00104,0.992571,12.5664
353,0.113403,0.999764,1.00202,1.00195,1.00076,0.992596,12.6021
354,0.113307,1.0002,1.00218,1.00205,1.00034,0.992612,12.6378
355,0.113225,1.00018,1.00159,1.00197,0.999872,0.992752,12.6735
356,0.113147,1.00081,1.00119,1.00183,0.999414,0.992436,12.7092
357,0.113215,1.00088,1.00145,1.00155,0.999023,0.992193,12.7449
358,0.113331,1.00118,1.00169,1.00185,0.998688,0.992006,12.7806
359,0.11347,1.00099,1.00171,1.00185,0.998986,0.991729,12.8163
360,0.113697,1.00099,1.00184,1.00182,0.998985,0.991502,12.852
361,0.113899,1.00132,1.00158,1.00144,0.998914,0.991354,12.8877
362,0.114074,1.001,1.00158,1.00129,0.998204,0.991345,12.9234
363,0.114239,1.00023,1.00107,1.00037,0.998198,0.991593,12.9591
